"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.837790988E1	-5.216455460E-2	-2.966821194E-2	-8.191823959E-2	1.015477303E-1
1.838590863E1	-3.320169449E-2	-4.023623466E-2	-8.369445801E-2	9.862083653E-2
1.839390496E1	-2.095174789E-2	-4.110199213E-2	-6.429100037E-2	7.913079189E-2
1.840190402E1	-1.562976837E-2	-4.452040792E-2	-4.507303238E-2	6.525285149E-2
1.840990531E1	2.103471756E-2	-5.520275235E-2	-2.362155914E-2	6.362217590E-2
1.841790562E1	3.392124176E-2	-7.348784804E-2	-2.142620087E-2	8.372691644E-2
1.842590664E1	3.007841110E-2	-4.894092679E-2	7.098674774E-3	5.788191698E-2
1.843390754E1	2.878332138E-2	-5.111438036E-2	9.192466736E-3	5.937727607E-2
1.844190785E1	-1.102447510E-3	-4.164105654E-2	-7.724761963E-4	4.166280955E-2
1.844990668E1	-4.303407669E-2	-2.773079276E-2	-3.699445724E-2	6.316263524E-2
1.845790464E1	-6.360673904E-2	-1.626315713E-2	-4.194211960E-2	7.790666806E-2
1.846590250E1	-5.105781555E-2	-2.379113436E-2	-2.265071869E-2	6.071222002E-2
1.847390336E1	-6.302356720E-2	-1.657447219E-2	1.142501831E-2	6.616051840E-2
1.848190410E1	-6.597042084E-2	7.534772158E-3	3.155708313E-2	7.351679205E-2
1.848990640E1	-3.560304642E-2	1.024857163E-2	4.226112366E-2	5.620153652E-2
1.849791117E1	-1.028823853E-2	5.645096302E-3	3.162574768E-2	3.373281608E-2
1.850591421E1	-3.075075150E-2	-4.123806953E-3	-3.166198730E-4	3.102764492E-2
1.851391761E1	-6.135272980E-2	1.221323013E-2	-2.702856064E-2	6.814589888E-2
1.852192480E1	-4.194402695E-2	1.886579394E-2	-3.198385239E-2	5.601951795E-2
1.852992992E1	-2.037429810E-2	2.337238193E-2	-2.719783783E-2	4.124442559E-2
