"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.201641456E1	-1.106142998E-3	2.112314105E-2	2.601718903E-2	3.353065411E-2
1.202441421E1	1.443900168E-3	1.387050748E-2	2.841186523E-2	3.164980113E-2
1.203241581E1	1.598395407E-3	9.061157703E-3	2.601623535E-2	2.759536100E-2
1.204041613E1	-3.229103982E-3	1.373133063E-2	2.841377258E-2	3.172253183E-2
1.204841699E1	-5.621962249E-3	4.058152437E-3	9.263038635E-3	1.157060696E-2
1.205641620E1	8.791163564E-3	8.942365646E-3	2.841377258E-2	3.105789646E-2
1.206441527E1	-8.014805615E-3	1.133602858E-2	4.038524628E-2	4.270492676E-2
1.207241472E1	3.961801529E-3	1.615351439E-2	2.602005005E-2	3.088162727E-2
1.208041296E1	3.966487944E-3	2.095538378E-2	2.841281891E-2	3.552674224E-2
1.208841179E1	-8.164569736E-4	1.383617520E-2	3.080558777E-2	3.378003233E-2
1.209641179E1	-8.116066456E-4	6.626486778E-3	2.601814270E-2	2.686098997E-2
1.210441499E1	-1.287009567E-2	1.617226005E-2	2.841377258E-2	3.513579130E-2
1.211241605E1	-3.235608339E-3	2.083048224E-2	3.320503235E-2	3.933131482E-2
1.212041605E1	3.951281309E-3	1.127791405E-2	2.362728119E-2	2.647739386E-2
1.212841695E1	3.907635808E-3	1.631379128E-3	3.081321716E-2	3.110281928E-2
1.213641476E1	6.350994110E-3	1.113092899E-2	2.363204956E-2	2.688320057E-2
1.214441429E1	-3.319822252E-3	1.834011078E-2	3.320884705E-2	3.808160193E-2
1.215241101E1	8.601434529E-3	2.070546150E-2	2.363300323E-2	3.257636649E-2
1.216040769E1	-5.809783936E-3	1.597538590E-2	3.081512451E-2	3.519287489E-2
1.216840773E1	3.770023584E-3	1.829123497E-2	3.799915314E-2	4.234050063E-2
1.217640859E1	1.378394663E-3	6.382763386E-3	2.123832703E-2	2.221949989E-2
